Wavelength (um),n                         
5.906756092,1.280487486
5.932301683,1.2780093
5.957847275,1.275499546
5.983392866,1.272934215
6.008938457,1.270339996
6.034484048,1.267686497
6.060029639,1.264994226
6.08557523,1.262252277
6.111120822,1.259459305
6.136666413,1.256607142
6.162212004,1.253716339
6.187757595,1.250762228
6.213303186,1.247757027
6.238848778,1.244694188
6.264394369,1.241566378
6.28993996,1.238390803
6.315485551,1.235137669
6.341031142,1.23182434
6.366576733,1.22845063
6.392122325,1.224997468
6.417667916,1.221484747
6.443213507,1.217892317
6.468759098,1.214219799
6.494304689,1.210472226
6.519850281,1.206643965
6.545395872,1.20272142
6.570941463,1.198726226
6.596487054,1.194631313
6.622032645,1.190443038
6.647578236,1.186161173
6.673123828,1.181769474
6.698669419,1.177276444
6.72421501,1.172670681
6.749760601,1.167953427
6.775306192,1.163114717
6.800851784,1.158154803
6.826397375,1.153060514
6.851942966,1.147836874
6.877488557,1.142466784
6.903034148,1.136947921
6.928579739,1.131281773
6.954125331,1.125439394
6.979670922,1.119433668
7.005216513,1.113246636
7.030762104,1.106869587
7.056307695,1.100301855
7.081853287,1.093510142
7.107398878,1.08650472
7.132944469,1.079265666
7.15849006,1.071767013
7.184035651,1.064021207
7.209581242,1.055983378
7.235126834,1.047650585
7.260672425,1.038999028
7.286218016,1.029998217
7.311763607,1.020639315
7.337309198,1.010890613
7.36285479,1.000724064
7.388400381,0.990107063
7.413945972,0.978991107
7.439491563,0.967351521
7.465037154,0.955142591
7.490582745,0.942304151
7.516128337,0.928791257
7.541673928,0.914537874
7.567219519,0.89947127
7.59276511,0.883521137
7.618310701,0.866621345
7.643856293,0.848658997
7.669401884,0.829567125
7.694947475,0.809242761
7.720493066,0.787609289
7.746038657,0.764588151
7.771584248,0.740160735
7.79712984,0.714343429
7.822675431,0.68726333
7.848221022,0.659193021
7.873766613,0.630610359
7.899312204,0.602246692
7.924857796,0.5751321
7.950403387,0.550441877
7.975948978,0.529302515
8.001494569,0.512437496
