Wavelength (um),k
10.27505218,0.163528652
10.30059778,0.146163332
10.32614337,0.130981838
10.35168896,0.117837776
10.37723455,0.10643448
10.40278014,0.096545212
10.42832573,0.088011948
10.45387132,0.080607891
10.47941691,0.074227142
10.50496251,0.068707807
10.5305081,0.063947772
10.55605369,0.059861689
10.58159928,0.056339814
10.60714487,0.053347704
10.63269046,0.050789873
10.65823605,0.04864626
10.68378164,0.046858662
10.70932723,0.045396806
10.73487283,0.04425124
10.76041842,0.043350268
10.78596401,0.042753325
10.8115096,0.042335709
10.82251,0.04228
10.83705519,0.04228861
10.86260078,0.042339635
10.88814637,0.042557751
10.91369196,0.043094909
10.93923756,0.04378879
10.96478315,0.044705175
10.99032874,0.045804788
11.01587433,0.047102033
11.04141992,0.048604753
11.06696551,0.050294086
11.0925111,0.052176785
11.11805669,0.054236851
11.14360228,0.056489262
11.16914788,0.058905201
11.19469347,0.061495256
11.22023906,0.064232245
11.24578465,0.067124814
11.27133024,0.070146184
11.29687583,0.073303123
11.32242142,0.076563927
11.34796701,0.079931536
11.37351261,0.08338369
11.3990582,0.086922441
11.42460379,0.090527041
11.45014938,0.09419668
11.47569497,0.097924998
11.50124056,0.101711998
11.52678615,0.105553939
11.55233174,0.109448911
11.57787733,0.113403455
11.60342293,0.11742211
11.62896852,0.121500073
11.65451411,0.125635707
11.6800597,0.129829458
11.70560529,0.134086524
11.73115088,0.138394819
11.75669647,0.142735348
11.78224206,0.147105364
11.80778766,0.151474636
11.83333325,0.155845775
11.85887884,0.160166467
11.88442443,0.164445936
11.90997002,0.168620548
11.93551561,0.17269023
11.9610612,0.176621107
11.98660679,0.180398356
12.01215238,0.184015428
12.03769798,0.1874318
12.06324357,0.190672678
12.08878916,0.193716572
12.11433475,0.196585886
12.13988034,0.199274713
12.16542593,0.201793373
12.19097152,0.20415952
12.21651711,0.206387306
12.24206271,0.208486041
12.2676083,0.21045475
12.29315389,0.212311031
12.31869948,0.214033228
12.34424507,0.215651546
12.36979066,0.217123097
12.39533625,0.218419221
12.42088184,0.219575766
12.44642743,0.220467425
12.47197303,0.221250852
12.49751862,0.221697813
12.52306421,0.221779436
12.5486098,0.221823191
12.56281,0.22183
12.57415539,0.221769981
12.59970098,0.221309309
12.62524657,0.220664767
12.65079216,0.219913747
12.67633776,0.218970191
12.70188335,0.217950959
12.72742894,0.21681348
12.75297453,0.215584694
12.77852012,0.214282906
12.80406571,0.212889377
12.8296113,0.211415804
12.85515689,0.209852725
12.88070248,0.20819583
12.90624808,0.20644058
12.93179367,0.2045772
12.95733926,0.202606547
12.98288485,0.200514203
13.00843044,0.198302372
13.03397603,0.19597801
13.05952162,0.193521654
13.08506721,0.190961964
13.11061281,0.18830842
13.1361584,0.18555076
13.16170399,0.182724453
13.18724958,0.179819847
13.21279517,0.176851692
13.23834076,0.17385653
13.26388635,0.17081962
13.28943194,0.167765988
13.31497754,0.164719507
13.34052313,0.161668446
13.36606872,0.15863374
13.39161431,0.155623166
13.4171599,0.152632199
13.44270549,0.149678164
13.46825108,0.146764569
13.49379667,0.14388637
13.51934226,0.141044347
13.54488786,0.138237882
13.57043345,0.135465687
13.59597904,0.132726994
13.62152463,0.130022629
13.64707022,0.12734832
13.67261581,0.124699353
13.6981614,0.122076945
13.72370699,0.119478831
13.74925259,0.116902135
13.77479818,0.114347347
13.80034377,0.111813908
13.82588936,0.10930055
13.85143495,0.106806296
13.87698054,0.104334084
13.90252613,0.101885631
13.92807172,0.099457552
13.95361731,0.097056363
13.97916291,0.094687585
14.0047085,0.092345385
14.03025409,0.090037394
14.05579968,0.08777158
14.08134527,0.085540289
14.10689086,0.083351047
14.13243645,0.081214178
14.15798204,0.079121819
14.18352764,0.07707812
14.20907323,0.075093006
14.23461882,0.073162761
14.26016441,0.071284296
14.28571,0.06946
