wavelength(m),k
3.22529E-06,0.00084
3.22581E-06,0.00084
3.22997E-06,0.00085
3.23415E-06,0.00085
3.23834E-06,0.00086
3.24675E-06,0.00086
3.25084E-06,0.000869967
3.25098E-06,0.00087
3.25945E-06,0.00087
3.26371E-06,0.00088
3.26797E-06,0.00088
3.27225E-06,0.00089
3.27638E-06,0.00089
3.28084E-06,0.00089
3.28515E-06,0.0009
3.28947E-06,0.0009
3.29381E-06,0.00091
3.30192E-06,0.00091
3.30251E-06,0.00091
3.30688E-06,0.00092
3.31126E-06,0.00092
3.31565E-06,0.00093
3.32447E-06,0.00093
3.32747E-06,0.000937561
3.32889E-06,0.00094
3.33333E-06,0.00094
3.33778E-06,0.00095
3.34672E-06,0.00095
3.35121E-06,0.00096
3.35301E-06,0.00096
3.3557E-06,0.00096
3.36022E-06,0.00097
3.36474E-06,0.00097
3.36927E-06,0.00098
3.37838E-06,0.00098
3.37856E-06,0.000980043
3.38295E-06,0.00099
3.38753E-06,0.00099
3.39213E-06,0.001
3.39674E-06,0.001
3.40136E-06,0.00101
3.4041E-06,0.00101
3.40599E-06,0.00101
3.41064E-06,0.00102
3.4153E-06,0.00102
3.41997E-06,0.00103
3.42466E-06,0.00103
3.42936E-06,0.00104
3.42964E-06,0.00104
3.43879E-06,0.00104
3.44353E-06,0.00105
3.44828E-06,0.00105
3.45304E-06,0.00106
3.45519E-06,0.00106
3.45781E-06,0.00106
3.4626E-06,0.00107
3.46741E-06,0.00107
3.47222E-06,0.00108
3.47705E-06,0.00108
3.48073E-06,0.001088553
3.48189E-06,0.00109
3.48675E-06,0.00109
3.49162E-06,0.0011
3.4965E-06,0.0011
3.50627E-06,0.001119999
3.50631E-06,0.00112
3.51124E-06,0.00112
3.51617E-06,0.00113
3.52113E-06,0.00113
3.52609E-06,0.00114
3.53107E-06,0.00114
3.53182E-06,0.001140604
3.53607E-06,0.00115
3.54108E-06,0.00115
3.5461E-06,0.00116
3.55114E-06,0.00116
3.55619E-06,0.00117
3.55736E-06,0.00117
3.56125E-06,0.00117
3.57143E-06,0.00119
3.57654E-06,0.00119
3.58166E-06,0.0012
3.5829E-06,0.0012
3.5868E-06,0.0012
3.59712E-06,0.00122
3.60231E-06,0.00122
3.6075E-06,0.00123
3.60845E-06,0.00123
3.61272E-06,0.00123
3.62319E-06,0.00125
3.62845E-06,0.00125
3.63372E-06,0.00126
3.63399E-06,0.00126
3.63901E-06,0.00126
3.64964E-06,0.00128
3.65497E-06,0.00128
3.65954E-06,0.001288353
3.66569E-06,0.0013
3.67107E-06,0.0013
3.68189E-06,0.00132
3.68508E-06,0.00132
3.68732E-06,0.00132
3.69822E-06,0.00134
3.7037E-06,0.00134
3.71062E-06,0.00135308
3.71471E-06,0.00136
3.72024E-06,0.00136
3.73134E-06,0.00138
3.73617E-06,0.00138
3.73692E-06,0.00138
3.74813E-06,0.0014
3.75375E-06,0.0014
3.76171E-06,0.001414086
3.77074E-06,0.00143
3.77644E-06,0.00143
3.78725E-06,0.00144891
3.79363E-06,0.00146
3.79939E-06,0.00146
3.8128E-06,0.001483132
3.82263E-06,0.0015
3.82848E-06,0.0015
3.83834E-06,0.001516762
3.85208E-06,0.00154
3.85802E-06,0.00154
3.86389E-06,0.001549822
3.88802E-06,0.00159
3.88943E-06,0.00159
3.89408E-06,0.00159
3.91497E-06,0.00162426
3.93701E-06,0.00166
3.94052E-06,0.00166
3.94322E-06,0.00166
3.96606E-06,0.001696517
3.9916E-06,0.001736854
4.01715E-06,0.001776682
4.04269E-06,0.001815999
4.06824E-06,0.00185483
4.09378E-06,0.001892948
4.11932E-06,0.001941035
4.14487E-06,0.001978438
4.17041E-06,0.002025385
4.19595E-06,0.002072292
4.2215E-06,0.002116509
4.24704E-06,0.002156657
4.27258E-06,0.00220804
4.29813E-06,0.002253741
4.32367E-06,0.002297438
4.34922E-06,0.002352149
4.37476E-06,0.002400934
4.4003E-06,0.00244828
4.42585E-06,0.002502831
4.45139E-06,0.002558141
4.47693E-06,0.002612582
4.50248E-06,0.002665015
4.52802E-06,0.002717556
4.55357E-06,0.00277973
4.57911E-06,0.002830855
4.60465E-06,0.002891421
4.6302E-06,0.00295132
4.65574E-06,0.003010576
4.68128E-06,0.003069164
4.70683E-06,0.003137199
4.73237E-06,0.003193888
4.75791E-06,0.003260651
4.78346E-06,0.003326981
4.809E-06,0.00339373
4.83455E-06,0.003467113
4.86009E-06,0.003531925
4.88563E-06,0.00359799
4.91118E-06,0.003668993
4.93672E-06,0.003747727
4.96226E-06,0.003815162
4.98781E-06,0.003893334
5.01335E-06,0.003969948
5.0389E-06,0.004045349
5.06444E-06,0.004130859
5.08998E-06,0.004204689
5.11553E-06,0.004291191
5.14107E-06,0.004370982
5.16661E-06,0.004464071
5.19216E-06,0.004545124
5.2177E-06,0.004634462
5.24324E-06,0.004726293
5.26879E-06,0.004810303
5.29433E-06,0.004901306
5.31988E-06,0.005002565
5.34542E-06,0.005092101
5.37096E-06,0.005191294
5.39651E-06,0.005289082
5.42205E-06,0.005396381
5.44759E-06,0.005494102
5.47314E-06,0.005601179
5.49868E-06,0.005707261
5.52423E-06,0.005812411
5.54977E-06,0.005921907
5.57531E-06,0.006029072
5.60086E-06,0.006141699
5.6264E-06,0.006259967
5.65194E-06,0.006380452
5.67749E-06,0.006499862
5.70303E-06,0.006618206
5.72857E-06,0.006741653
5.75412E-06,0.006867058
5.77966E-06,0.006990676
5.80521E-06,0.007124668
5.83075E-06,0.007256687
5.85629E-06,0.007388306
5.88184E-06,0.007527412
5.90738E-06,0.007663848
5.93292E-06,0.007809822
5.95847E-06,0.007954319
5.98401E-06,0.00809744
6.00956E-06,0.00824962
6.0351E-06,0.008397836
6.06064E-06,0.008555227
6.08619E-06,0.008711011
6.11173E-06,0.008865331
6.13727E-06,0.009036064
6.16282E-06,0.009193336
6.18836E-06,0.009361653
6.2139E-06,0.009537266
6.23945E-06,0.009715985
6.26499E-06,0.0098854
6.29054E-06,0.010074013
6.31608E-06,0.010251555
6.34162E-06,0.010443488
6.36717E-06,0.010632906
6.39271E-06,0.010831154
6.41825E-06,0.011022471
6.4438E-06,0.011223894
6.46934E-06,0.011428125
6.49489E-06,0.011641412
6.52043E-06,0.011852511
6.54597E-06,0.012062522
6.57152E-06,0.012285531
6.59706E-06,0.012506691
6.6226E-06,0.012740781
6.64815E-06,0.012972829
6.67369E-06,0.013206342
6.69923E-06,0.013449948
6.72478E-06,0.013692594
6.75032E-06,0.013946509
6.77587E-06,0.014198032
6.80141E-06,0.014461521
6.82695E-06,0.014722239
6.8525E-06,0.014993849
6.87804E-06,0.015264272
6.90358E-06,0.015541964
6.92913E-06,0.015833349
6.95467E-06,0.01611524
6.98022E-06,0.016414213
7.00576E-06,0.016715636
7.0313E-06,0.017027344
7.05685E-06,0.01733546
7.08239E-06,0.017653053
7.10793E-06,0.017982909
7.13348E-06,0.018309012
7.15902E-06,0.018651617
7.18456E-06,0.018988891
7.21011E-06,0.019346756
7.23565E-06,0.019700532
7.2612E-06,0.020067639
7.28674E-06,0.020442417
7.31228E-06,0.02081527
7.33783E-06,0.021208568
7.36337E-06,0.021603102
7.38891E-06,0.022001372
7.41446E-06,0.022415233
7.44E-06,0.022832123
7.46555E-06,0.023258133
7.49109E-06,0.023694363
7.51663E-06,0.024140474
7.54218E-06,0.024596352
7.56772E-06,0.025061625
7.59326E-06,0.025536988
7.61881E-06,0.026010368
7.64435E-06,0.026512096
7.66989E-06,0.027013418
7.69544E-06,0.027523654
7.72098E-06,0.028052664
7.74653E-06,0.028589032
7.77207E-06,0.029132845
7.79761E-06,0.029687755
7.82316E-06,0.030262709
7.8487E-06,0.030844757
7.87424E-06,0.031437787
7.89979E-06,0.032049587
7.92533E-06,0.032672793
7.95088E-06,0.033306731
7.97642E-06,0.033952111
8.00196E-06,0.034613265
8.02751E-06,0.035297174
8.05305E-06,0.035994578
8.07859E-06,0.036701902
8.10414E-06,0.037423715
8.12968E-06,0.03816511
8.15523E-06,0.038926084
8.18077E-06,0.039699518
8.20631E-06,0.040489614
8.23186E-06,0.041302456
8.2574E-06,0.042136806
