wavelength,n
7.05483E-06,1.368389255
7.06798E-06,1.368152242
7.08113E-06,1.367914668
7.09428E-06,1.367676534
7.10744E-06,1.367437842
7.12059E-06,1.367198594
7.13374E-06,1.36695879
7.1415E-06,1.366817047
7.14689E-06,1.366718432
7.16004E-06,1.366477505
7.1732E-06,1.366236006
7.18635E-06,1.365993937
7.1995E-06,1.3657513
7.21265E-06,1.365508096
7.2258E-06,1.365264326
7.23896E-06,1.365019993
7.25211E-06,1.364775098
0.00000726,1.364627892
7.26526E-06,1.364529641
7.27841E-06,1.364283607
7.29156E-06,1.364036994
7.30472E-06,1.363789805
7.31787E-06,1.363542039
7.33102E-06,1.3632937
7.34417E-06,1.363044788
7.35733E-06,1.362795304
7.37048E-06,1.362545251
7.3785E-06,1.362392439
7.38363E-06,1.362294628
7.39678E-06,1.362043421
7.40993E-06,1.361791628
7.42309E-06,1.361539251
7.43624E-06,1.36128629
7.44939E-06,1.361032748
7.46254E-06,1.360778625
7.47569E-06,1.360523923
7.48885E-06,1.360268643
0.000007497,1.360110081
7.502E-06,1.360012786
7.51515E-06,1.359756338
7.5283E-06,1.359499296
7.54145E-06,1.359241662
7.55461E-06,1.358983436
7.56776E-06,1.358724621
7.58091E-06,1.358465218
7.59406E-06,1.358205227
7.60721E-06,1.357944651
7.6155E-06,1.357780189
7.62037E-06,1.35768349
7.63352E-06,1.357421729
7.64667E-06,1.357159367
7.65982E-06,1.356896405
7.67297E-06,1.356632843
7.68613E-06,1.356368683
7.69928E-06,1.356103928
7.71243E-06,1.355838577
7.72558E-06,1.355572632
0.000007734,1.355402116
7.73873E-06,1.355306093
7.75189E-06,1.355038947
7.76504E-06,1.354771192
7.77819E-06,1.354502827
7.79134E-06,1.354233856
7.8045E-06,1.353964278
7.81765E-06,1.353694095
7.8308E-06,1.353423309
7.84395E-06,1.353151921
7.8525E-06,1.352975196
7.8571E-06,1.35287993
7.87026E-06,1.352607324
7.88341E-06,1.352334099
7.89656E-06,1.352060257
7.90971E-06,1.3517858
7.92286E-06,1.351510727
7.93602E-06,1.351235041
7.94917E-06,1.350958743
7.96232E-06,1.350681834
0.000007971,1.350498739
7.97547E-06,1.350404313
7.98862E-06,1.350126169
8.00178E-06,1.349847398
8.01493E-06,1.349568
8.02808E-06,1.349287978
8.04123E-06,1.349007332
8.05438E-06,1.348726064
8.06754E-06,1.348444175
8.08069E-06,1.348161665
8.0895E-06,1.347972037
8.09384E-06,1.347878535
8.10699E-06,1.347594773
8.12014E-06,1.347310374
8.1333E-06,1.34702534
8.14645E-06,1.346739673
8.1596E-06,1.346453373
8.17275E-06,1.346166441
8.1859E-06,1.345878878
8.19906E-06,1.345590686
0.000008208,1.345394356
8.21221E-06,1.345301864
8.22536E-06,1.345012401
8.23851E-06,1.344722292
8.25166E-06,1.344431539
8.26482E-06,1.344140142
8.27797E-06,1.343848104
8.29112E-06,1.343555424
8.30427E-06,1.343262104
8.31743E-06,1.342968144
8.3265E-06,1.34276494
8.33058E-06,1.342673546
8.34373E-06,1.342378296
8.35688E-06,1.342082392
8.37003E-06,1.341785833
8.38319E-06,1.341488621
8.39634E-06,1.341190758
8.40949E-06,1.340892243
8.42264E-06,1.340593078
8.43579E-06,1.340293264
0.000008445,1.340083009
8.44895E-06,1.339992802
8.4621E-06,1.339691678
8.47525E-06,1.339389889
8.4884E-06,1.339087436
8.50155E-06,1.33878432
8.51471E-06,1.338480542
8.52786E-06,1.338176103
8.54101E-06,1.337871004
8.55416E-06,1.337565245
8.5635E-06,1.337347756
8.56731E-06,1.337258827
8.58047E-06,1.336951738
8.59362E-06,1.336643973
8.60677E-06,1.336335535
8.61992E-06,1.336026423
8.63307E-06,1.335716638
8.64623E-06,1.335406182
8.65938E-06,1.335095055
8.67253E-06,1.334783258
0.000008682,1.33455835
8.68568E-06,1.334470791
8.69883E-06,1.334157643
8.71199E-06,1.333843809
8.72514E-06,1.33352929
8.73829E-06,1.333214087
8.75144E-06,1.3328982
8.76459E-06,1.332581632
8.77775E-06,1.332264381
8.7909E-06,1.33194645
8.8005E-06,1.33171393
8.80405E-06,1.331627837
8.8172E-06,1.331308533
8.83036E-06,1.330988531
8.84351E-06,1.330667834
8.85666E-06,1.330346442
8.86981E-06,1.330024355
8.88296E-06,1.329701575
8.89612E-06,1.329378102
8.90927E-06,1.329053936
0.000008919,1.328813609
8.92242E-06,1.328729079
8.93557E-06,1.328403517
8.94872E-06,1.328077248
8.96188E-06,1.327750272
8.97503E-06,1.327422589
8.98818E-06,1.327094201
9.00133E-06,1.326765107
9.01448E-06,1.326435308
9.02764E-06,1.326104806
9.0375E-06,1.325856468
9.04079E-06,1.3257736
9.05394E-06,1.325441678
9.06709E-06,1.325109037
9.08024E-06,1.324775678
9.0934E-06,1.324441599
9.10655E-06,1.324106804
9.1197E-06,1.323771291
9.13285E-06,1.323435061
9.146E-06,1.323098115
0.000009156,1.322841558
9.15916E-06,1.322760454
9.17231E-06,1.322422065
9.18546E-06,1.322082945
9.19861E-06,1.321743094
9.21176E-06,1.321402512
9.22492E-06,1.3210612
9.23807E-06,1.320719159
9.25122E-06,1.320376388
9.26437E-06,1.320032889
9.2745E-06,1.319767899
9.27752E-06,1.319688662
9.29068E-06,1.319343696
9.30383E-06,1.318997985
9.31698E-06,1.31865153
9.33013E-06,1.318304333
9.34329E-06,1.317956393
9.35644E-06,1.31760771
9.36959E-06,1.317258286
9.38274E-06,1.31690812
0.000009393,1.316634476
9.39589E-06,1.316557213
9.40905E-06,1.316205554
9.4222E-06,1.315853137
9.43535E-06,1.315499964
9.4485E-06,1.315146035
9.46165E-06,1.31479135
9.47481E-06,1.31443591
9.48796E-06,1.314079714
9.50111E-06,1.313722764
9.5115E-06,1.31344024
9.51426E-06,1.313365059
9.52741E-06,1.313006588
9.54057E-06,1.312647347
9.55372E-06,1.312287337
9.56687E-06,1.311926556
9.58002E-06,1.311565006
9.59317E-06,1.311202686
9.60633E-06,1.310839598
9.61948E-06,1.310475742
0.00000963,1.310184103
9.63263E-06,1.310111116
9.64578E-06,1.309745712
9.65893E-06,1.309379523
9.67209E-06,1.309012551
9.68524E-06,1.308644794
9.69839E-06,1.308276254
9.71154E-06,1.307906931
9.72469E-06,1.307536825
9.73785E-06,1.307165936
9.7485E-06,1.306864942
9.751E-06,1.306794264
9.76415E-06,1.306421798
9.7773E-06,1.306048534
9.79046E-06,1.305674472
